Industry,2020,2021,2022,2023,2024,2025
Photography,10000000000.0,,,3334000000.0,,
Plastics,10000000.0,,,,,
Printing,5500000.0,10000000.0,10000000.0,120400000.0,,
Professional Training & Coaching,1694340659.3406594,672222222.2222222,946218181.8181819,929614173.2283465,608052631.5789474,1133333333.3333333
Public Relations and Communications,500500000.0,,,1000000.0,50000000.0,
Public Safety,,,,10000000.0,,
Publishing,15500000.0,10000000.0,76000000.0,1273875000.0,64200000.0,
Real Estate,1405473684.2105262,1861428571.4285715,684666666.6666666,1102613636.3636363,4361684210.526316,
Recreational Facilities and Services,25500000.0,,25500000.0,,,
Renewables & Environment,31090909.09090909,20333333.333333332,34000000.0,56437500.0,100000000.0,
Research,5500000000.0,,8756250000.0,334000000.0,,
Restaurants,120129330.25404157,762789473.6842105,1773995726.4957266,202157894.7368421,655740000.0,25937500.0
Retail,698264822.1343874,626662921.3483146,1769884615.3846154,1567286486.4864864,2054194774.3467934,1951246753.2467532
Security and Investigations,,,,,,
Services / Gov,3418051948.051948,3036382352.9411764,2859072164.9484534,2415703431.372549,3783654320.987654,3674608695.652174
Specialised,4000000000.0,,4400000000.0,3391176470.5882354,822310344.8275862,2022439666.6666667
Sporting Goods,2500000.0,10000000.0,1675666666.6666667,2515250000.0,550000000.0,
Sports,263000000.0,,,,,
Staffing and Recruiting,1000000.0,,,,,
Supplier,,,,639625000.0,,
Telecommunications,1956861111.1111112,50000000.0,3788714285.714286,1954066666.6666667,,10000000000.0
Temperature Control,1000000.0,4000000.0,11625000.0,190879310.3448276,13533333.333333334,30000000.0
Textiles,222200000.0,1000000.0,2537500000.0,10000000.0,,
Tobacco,10000000000.0,,10000000000.0,1670500000.0,10000000000.0,
Transportation/Trucking/Railroad,1144368421.0526316,1368354166.6666667,560139534.8837209,1292581081.0810812,2601000000.0,20333333.333333332
Unchecked,,,,,,
Unknown Industry,227762619.372442,124629213.48314607,138410138.24884793,323224489.79591835,850455555.5555556,755666666.6666666
Utilities,1573000000.0,,5065000000.0,3233250000.0,2420200000.0,50500000.0
Veterinary,50000000.0,,,,,
Warehousing,,100000000.0,,100000000.0,,
Wholesale,1447904761.9047618,1000000.0,3340333333.3333335,2010166666.6666667,5000500000.0,
Wine and Spirits,169357142.85714287,,,,50000000.0,
Wireless,6400000.0,,,4014000000.0,10000000000.0,
